School_No,School_Name,Education_Sector,School_Type,Address_Line_1,Address_Town,Address_Postcode,Region,Area,LGA_Name,X,Y,Distance_km_from_Melbourne_Connect,Map_Category_Sector,Map_Category_Type,Map_Category_Area,Map_Category_Suburb,Website_For_Popup,Logo_Image_URL,Logo_Status_For_Popup
1673,Mazenod College,Catholic,Secondary,Kernot Ave,Mulgrave,3170,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.166144,-37.915204,21.86,Catholic,Secondary,Inner Eastern Melbourne,Mulgrave,,,
259,Methodist Ladies' College,Independent,Pri/Sec,207 Barkers Road,Kew,3101,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.038491,-37.813951,6.70,Independent,Pri/Sec,Inner Eastern Melbourne,Kew,,,
5212,Milgate Primary School,Government,Primary,96 Landscape Drive,Doncaster East,3109,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.175188,-37.773798,18.76,Government,Primary,Inner Eastern Melbourne,Doncaster East,,,
2904,Mitcham Primary School,Government,Primary,294 Mitcham Road,Mitcham,3132,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.192719,-37.808986,20.09,Government,Primary,Inner Eastern Melbourne,Mitcham,,,
5151,Monash Special Developmental School,Government,Special,15-25 Academy Avenue,Wheelers Hill,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.1657962,-37.9069788,21.31,Government,Special,Inner Eastern Melbourne,Wheelers Hill,,,
3943,Mont Albert Primary School,Government,Primary,Barloa Road,Mont Albert,3127,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.102727,-37.813079,12.25,Government,Primary,Inner Eastern Melbourne,Mont Albert,,,
4808,Mount Pleasant Road Nunawading Primary School,Government,Primary,105-107 Mt Pleasant Road,Nunawading,3131,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.180091,-37.828587,19.22,Government,Primary,Inner Eastern Melbourne,Nunawading,,,
1490,Mount Scopus Memorial College,Independent,Pri/Sec,245 Burwood Highway,Burwood,3125,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.117774,-37.847216,14.46,Independent,Pri/Sec,Inner Eastern Melbourne,Burwood,,,
4923,Mount View Primary School,Government,Primary,274-288 Gallaghers Rd,Glen Waverley,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.178805,-37.883485,20.99,Government,Primary,Inner Eastern Melbourne,Glen Waverley,,,
4832,Mount Waverley Heights Primary School,Government,Primary,36 Solomon Street,Mount Waverley,3149,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.11127,-37.888919,16.25,Government,Primary,Inner Eastern Melbourne,Mount Waverley,,,
5430,Mount Waverley North Primary School,Government,Primary,Marcus Avenue,Mount Waverley,3149,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.141352,-37.868017,17.29,Government,Primary,Inner Eastern Melbourne,Mount Waverley,,,
3432,Mount Waverley Primary School,Government,Primary,37-45 Park Lane,Mount Waverley,3149,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.124111,-37.881266,16.69,Government,Primary,Inner Eastern Melbourne,Mount Waverley,,,
8105,Mount Waverley Secondary College,Government,Secondary,9 Lechte Road,Mount Waverley,3149,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.132311,-37.869086,16.63,Government,Secondary,Inner Eastern Melbourne,Mount Waverley,,,
2172,Mulgrave Primary School,Government,Primary,23-31 Gladeswood Drive,Mulgrave,3170,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.197367,-37.932946,25.23,Government,Primary,Inner Eastern Melbourne,Mulgrave,,,
8744,Mullauna Secondary College,Government,Secondary,456 Springfield Road,Mitcham,3132,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.190155,-37.807109,19.86,Government,Secondary,Inner Eastern Melbourne,Mitcham,,,
1508,Nunawading Christian College-Primary,Independent,Primary,Laughlin Ave,Nunawading,3131,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.17005,-37.82192,18.24,Independent,Primary,Inner Eastern Melbourne,Nunawading,,,
1712,Nunawading Christian College-Secondary,Independent,Secondary,161 Central Rd,Nunawading,3131,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.1690183,-37.82254717,18.16,Independent,Secondary,Inner Eastern Melbourne,Nunawading,,,
1866,Oakleigh Grammar,Independent,Pri/Sec,77  Willesden Road,Oakleigh,3166,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.082819,-37.895907,14.89,Independent,Pri/Sec,Inner Eastern Melbourne,Oakleigh,,,
1601,Oakleigh Primary School,Government,Primary,20 Warrigal Road,Oakleigh,3166,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.088615,-37.894474,15.14,Government,Primary,Inner Eastern Melbourne,Oakleigh,,,
4823,Oakleigh South Primary School,Government,Primary,Riley Street,Oakleigh South,3167,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.0947041,-37.92220601,17.76,Government,Primary,Inner Eastern Melbourne,Oakleigh South,,,
4715,Old Orchard Primary School,Government,Primary,88 Koonung Road,Blackburn North,3130,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.152511,-37.807568,16.56,Government,Primary,Inner Eastern Melbourne,Blackburn North,,,
5285,Orchard Grove Primary School,Government,Primary,101 Orchard Grove,Blackburn South,3130,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.146528,-37.84023,16.62,Government,Primary,Inner Eastern Melbourne,Blackburn South,,,
653,Our Holy Redeemer School,Catholic,Primary,311 Mont Albert Road,Surrey Hills,3127,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.100085,-37.820319,12.14,Catholic,Primary,Inner Eastern Melbourne,Surrey Hills,,,
1206,Our Lady of Good Counsel School,Catholic,Primary,12 Whitehorse Rd,Deepdene,3103,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.06279,-37.811081,8.74,Catholic,Primary,Inner Eastern Melbourne,Deepdene,,,
1569,Our Lady of Perpetual Succour School,Catholic,Primary,31 Erasmus Street,Surrey Hills,3127,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.111389,-37.830057,13.34,Catholic,Primary,Inner Eastern Melbourne,Surrey Hills,,,
1287,Our Lady of Sion College,Catholic,Secondary,1065 Whitehorse Road,Box Hill,3128,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.129918,-37.818348,14.69,Catholic,Secondary,Inner Eastern Melbourne,Box Hill,,,
1759,Our Lady of the Pines School,Catholic,Primary,77 Carbine Street,Donvale,3111,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.177211,-37.774442,18.93,Catholic,Primary,Inner Eastern Melbourne,Donvale,,,
4854,Park Orchards Primary School,Government,Primary,1-3 Bowmore Avenue,Park Orchards,3114,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.215918,-37.779519,22.23,Government,Primary,Inner Eastern Melbourne,Park Orchards,,,
5416,Parkhill Primary School,Government,Primary,4a Parkhill Drive,Ashwood,3147,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.106871,-37.86288,14.34,Government,Primary,Inner Eastern Melbourne,Ashwood,,,
4881,Parkmore Primary School,Government,Primary,38-54 Jolimont Road,Forest Hill,3131,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.177183,-37.843844,19.32,Government,Primary,Inner Eastern Melbourne,Forest Hill,,,
4874,Pinewood Primary School,Government,Primary,27-35 Pinewood Drive,Mount Waverley,3149,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.142339,-37.890118,18.56,Government,Primary,Inner Eastern Melbourne,Mount Waverley,,,
554,Presbyterian Ladies' College,Independent,Pri/Sec,141 Burwood Highway,Burwood,3125,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.107002,-37.848559,13.64,Independent,Pri/Sec,Inner Eastern Melbourne,Burwood,,,
1377,"Preshil, The Margaret Lyttle Memorial School",Independent,Pri/Sec,395 Barkers Road,Kew,3101,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.052212,-37.815934,7.92,Independent,Pri/Sec,Inner Eastern Melbourne,Kew,,,
5431,Rangeview Primary School,Government,Primary,27 Churinga Avenue,Mitcham,3132,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.206302,-37.829577,21.51,Government,Primary,Inner Eastern Melbourne,Mitcham,,,
5419,Roberts McCubbin Primary School,Government,Primary,57 Birdwood Street,Box Hill South,3128,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.125206,-37.834767,14.65,Government,Primary,Inner Eastern Melbourne,Box Hill South,,,
1559,Rossbourne School,Independent,Special,131 Power Street,Hawthorn,3122,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.02655,-37.82304,6.03,Independent,Special,Inner Eastern Melbourne,Hawthorn,,,
83,Ruyton Girls' School,Independent,Pri/Sec,12 Selbourne Road,Kew,3101,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.039181,-37.811111,6.69,Independent,Pri/Sec,Inner Eastern Melbourne,Kew,,,
2114,SEDA College (Victoria),Independent,Secondary,357 Camberwell Road,Camberwell,3124,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.054006,-37.830714,8.58,Independent,Secondary,Inner Eastern Melbourne,Camberwell,,,
1571,Sacred Heart Girls' College,Catholic,Secondary,113 Warrigal Road,Hughesdale,3166,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.086083,-37.902163,15.59,Catholic,Secondary,Inner Eastern Melbourne,Hughesdale,,,
590,Sacred Heart School,Catholic,Primary,116 Cotham Road,Kew,3101,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.03744,-37.808169,6.49,Catholic,Primary,Inner Eastern Melbourne,Kew,,,
1393,Sacred Heart School,Catholic,Primary,2 Mora Avenue,Oakleigh,3166,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.086915,-37.901835,15.62,Catholic,Primary,Inner Eastern Melbourne,Oakleigh,,,
1485,Salesian College Chadstone,Catholic,Secondary,10 Bosco Street,Chadstone,3148,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.100257,-37.882735,15.07,Catholic,Secondary,Inner Eastern Melbourne,Chadstone,,,
1021,Scotch College,Independent,Pri/Sec,1 Morrison Street,Hawthorn,3122,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.032288,-37.833922,7.06,Independent,Pri/Sec,Inner Eastern Melbourne,Hawthorn,,,
5168,Serpell Primary School,Government,Primary,Tuckers Road,Templestowe,3106,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.155574,-37.769901,17.14,Government,Primary,Inner Eastern Melbourne,Templestowe,,,
1445,Siena College Ltd,Catholic,Secondary,815 Riversdale Road,Camberwell,3124,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.082575,-37.833662,11.04,Catholic,Secondary,Inner Eastern Melbourne,Camberwell,,,
4641,Solway Primary School,Government,Primary,Winton Road,Ashburton,3147,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.07283,-37.873238,12.53,Government,Primary,Inner Eastern Melbourne,Ashburton,,,
8801,South Oakleigh College,Government,Secondary,Bakers Road,Oakleigh South,3167,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.089768,-37.92232068,17.49,Government,Secondary,Inner Eastern Melbourne,Oakleigh South,,,
1604,Ss Peter & Paul's School,Catholic,Primary,16 Beverley Street,Doncaster East,3109,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.1534,-37.790552,16.65,Catholic,Primary,Inner Eastern Melbourne,Doncaster East,,,
1328,St Anne's School,Catholic,Primary,7-19 Beresford Street,Kew East,3102,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.049813,-37.79538,7.53,Catholic,Primary,Inner Eastern Melbourne,Kew East,,,
1805,St Anne's School,Catholic,Primary,60 Knees Road,Park Orchards,3114,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.218594,-37.773303,22.54,Catholic,Primary,Inner Eastern Melbourne,Park Orchards,,,
1482,St Bede's School,Catholic,Primary,2 Marwal Avenue,Balwyn North,3104,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.070901,-37.793523,9.40,Catholic,Primary,Inner Eastern Melbourne,Balwyn North,,,
1354,St Cecilia's School,Catholic,Primary,4 Van Ness Avenue,Glen Iris,3146,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.064602,-37.850094,10.42,Catholic,Primary,Inner Eastern Melbourne,Glen Iris,,,
1600,St Christopher's School,Catholic,Primary,2-16 Doon Avenue,Glen Waverley,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.1501975,-37.87109838,18.13,Catholic,Primary,Inner Eastern Melbourne,Glen Waverley,,,
1640,St Clement of Rome School,Catholic,Primary,9 Egan Drive,Bulleen,3105,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.090333,-37.767296,11.66,Catholic,Primary,Inner Eastern Melbourne,Bulleen,,,
1229,St Dominic's School,Catholic,Primary,145 Highfield Road,Camberwell East,3124,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.083836,-37.838918,11.35,Catholic,Primary,Inner Eastern Melbourne,Camberwell East,,,
1272,St Francis Xavier's School,Catholic,Primary,1087 Whitehorse Road,Box Hill,3128,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.131493,-37.818494,14.83,Catholic,Primary,Inner Eastern Melbourne,Box Hill,,,
1678,St Gregory the Great School,Catholic,Primary,396 Manningham Road,Doncaster,3108,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.122282,-37.780598,14.05,Catholic,Primary,Inner Eastern Melbourne,Doncaster,,,
1681,St James' School,Catholic,Primary,51 Centre Road,Vermont,3133,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.20969,-37.836748,21.94,Catholic,Primary,Inner Eastern Melbourne,Vermont,,,
1613,St John Vianney's School,Catholic,Primary,23 Police Road,Mulgrave,3170,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.159559,-37.932718,22.61,Catholic,Primary,Inner Eastern Melbourne,Mulgrave,,,
1407,St John's School,Catholic,Primary,490 Whitehorse Road,Mitcham,3132,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.190401,-37.817445,19.96,Catholic,Primary,Inner Eastern Melbourne,Mitcham,,,
148,St Joseph's School,Catholic,Primary,571 Glenferrie Road,Hawthorn,3122,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.034315,-37.826461,6.81,Catholic,Primary,Inner Eastern Melbourne,Hawthorn,,,
1882,St Justin's School,Catholic,Primary,42 Whalley Drive,Wheelers Hill,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.190508,-37.917811,23.78,Catholic,Primary,Inner Eastern Melbourne,Wheelers Hill,,,
1680,St Kevin's School,Catholic,Primary,26-44 Herlihys Road,Templestowe Lower,3107,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.122868,-37.761267,14.59,Catholic,Primary,Inner Eastern Melbourne,Templestowe Lower,,,
1596,St Leonard's School,Catholic,Primary,349 Springvale Road,Glen Waverley,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.163894,-37.886803,20.00,Catholic,Primary,Inner Eastern Melbourne,Glen Waverley,,,
1628,St Luke the Evangelist School,Catholic,Primary,46 Orchard Grove,Blackburn South,3130,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.146714,-37.835551,16.50,Catholic,Primary,Inner Eastern Melbourne,Blackburn South,,,
1477,St Michael's School,Catholic,Primary,268 High Street,Ashburton,3147,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.082484,-37.864128,12.59,Catholic,Primary,Inner Eastern Melbourne,Ashburton,,,
1647,St Paul's College Balwyn,Independent,Special,3 Brenbeal Street,Balwyn,3101,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.086858,-37.81235,10.85,Independent,Special,Inner Eastern Melbourne,Balwyn,,,
1531,St Peter's School,Catholic,Primary,16 Mary Street,Clayton,3168,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.121859,-37.92314,19.46,Catholic,Primary,Inner Eastern Melbourne,Clayton,,,
1652,St Philip's School,Catholic,Primary,60 Junction Road,Blackburn North,3130,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.166588,-37.807643,17.79,Catholic,Primary,Inner Eastern Melbourne,Blackburn North,,,
1598,St Scholastica's School,Catholic,Primary,4-8 Starling Street,Bennettswood,3125,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.125908,-37.851646,15.31,Catholic,Primary,Inner Eastern Melbourne,Bennettswood,,,
1522,St Thomas The Apostle School,Catholic,Primary,67 Central Road,Blackburn,3130,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.157434,-37.823247,17.16,Catholic,Primary,Inner Eastern Melbourne,Blackburn,,,
1209,Strathcona Baptist Girls' Grammar,Independent,Pri/Sec,34 Scott Street,Canterbury,3126,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.080366,-37.829176,10.70,Independent,Pri/Sec,Inner Eastern Melbourne,Canterbury,,,
2778,Surrey Hills Primary School,Government,Primary,2 Beatrice Avenue,Surrey Hills,3127,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.100903,-37.825534,12.33,Government,Primary,Inner Eastern Melbourne,Surrey Hills,,,
7366,Swinburne Senior Secondary College,Government,Secondary,505 Burwood Road,Hawthorn,3122,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.040821,-37.823135,7.19,Government,Secondary,Inner Eastern Melbourne,Hawthorn,,,
4924,Syndal South Primary School,Government,Primary,14 Montgomery Avenue,Mount Waverley,3149,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.143301,-37.879086,18.01,Government,Primary,Inner Eastern Melbourne,Mount Waverley,,,
8823,Templestowe College,Government,Secondary,7 Cypress Avenue,Templestowe Lower,3107,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.122306,-37.767428,14.35,Government,Secondary,Inner Eastern Melbourne,Templestowe Lower,,,
5004,Templestowe Heights Primary School,Government,Primary,276-300 High Street,Templestowe Lower,3107,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.119353,-37.767214,14.11,Government,Primary,Inner Eastern Melbourne,Templestowe Lower,,,
5129,Templestowe Park Primary School,Government,Primary,399-409 Church Road,Templestowe,3106,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.143259,-37.756273,16.47,Government,Primary,Inner Eastern Melbourne,Templestowe,,,
4985,Templestowe Valley Primary School,Government,Primary,15 Birchwood Avenue,Lower Templestowe,3107,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.10938,-37.760611,13.49,Government,Primary,Inner Eastern Melbourne,Lower Templestowe,,,
457,Trinity Grammar School Kew,Independent,Pri/Sec,40 Charles Street,Kew,3101,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.0355016,-37.81020316,6.36,Independent,Pri/Sec,Inner Eastern Melbourne,Kew,,,
1022,Vermont Primary School,Government,Primary,4-10 Nurlendi Road,Vermont,3133,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.194296,-37.837359,20.62,Government,Primary,Inner Eastern Melbourne,Vermont,,,
8420,Vermont Secondary College,Government,Secondary,27 - 63 Morack Road,Vermont,3133,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.199701,-37.844117,21.25,Government,Secondary,Inner Eastern Melbourne,Vermont,,,
5025,Vermont South Special School,Government,Special,22-30 Livingstone Road,Vermont South,3133,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.180596,-37.85114,19.83,Government,Special,Inner Eastern Melbourne,Vermont South,,,
8437,Warrandyte High School,Government,Secondary,241-247 Heidelberg-Warrandyte Rd,Warrandyte,3113,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.184222,-37.748269,20.17,Government,Secondary,Inner Eastern Melbourne,Warrandyte,,,
12,Warrandyte Primary School,Government,Primary,5-11 Forbes Street,Warrandyte,3113,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.21398,-37.742675,22.86,Government,Primary,Inner Eastern Melbourne,Warrandyte,,,
3841,Wattle Park Primary School,Government,Primary,225 Warrigal Road,Burwood,3125,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.09737,-37.842635,12.61,Government,Primary,Inner Eastern Melbourne,Burwood,,,
5105,Waverley Meadows Primary School,Government,Primary,11-27 Columbia Drive,Wheelers Hill,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.184278,-37.914752,23.14,Government,Primary,Inner Eastern Melbourne,Wheelers Hill,,,
5157,Weeden Heights Primary School,Government,Primary,41-51 Weeden Drive,Vermont South,3133,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.177637,-37.85916,19.85,Government,Primary,Inner Eastern Melbourne,Vermont South,,,
8462,Wellington Secondary College,Government,Secondary,91 Police Road,Mulgrave,3170,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.169378,-37.934467,23.39,Government,Secondary,Inner Eastern Melbourne,Mulgrave,,,
5094,Wheelers Hill Primary School,Government,Primary,134-148 Whites Lane,Wheelers Hill,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.177594,-37.90017,21.78,Government,Primary,Inner Eastern Melbourne,Wheelers Hill,,,
8474,Wheelers Hill Secondary College,Government,Secondary,2-28 Raphael Drive,Wheelers Hill,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.181743,-37.910126,22.67,Government,Secondary,Inner Eastern Melbourne,Wheelers Hill,,,
1473,Whitefriars College,Catholic,Secondary,156 Park Road,Donvale,3111,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.199541,-37.7918,20.69,Catholic,Secondary,Inner Eastern Melbourne,Donvale,,,
5530,Whitehorse Primary School,Government,Primary,70-86 Junction Road,Blackburn North,3130,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.1669863,-37.80746673,17.83,Government,Primary,Inner Eastern Melbourne,Blackburn North,,,
3241,Wonga Park Primary School,Government,Primary,Dudley Road,Wonga Park,3115,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.273999,-37.730641,28.30,Government,Primary,Inner Eastern Melbourne,Wonga Park,,,
404,Xavier College,Catholic,Pri/Sec,135 Barkers Road,Kew,3101,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.031105,-37.813858,6.07,Catholic,Pri/Sec,Inner Eastern Melbourne,Kew,,,
1886,Abbotsford Primary School,Government,Primary,Lithgow Street,Abbotsford,3067,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),144.998814,-37.808979,3.19,Government,Primary,North Eastern Melbourne,Abbotsford,,,
467,Academy of Mary Immaculate,Catholic,Secondary,88 Nicholson Street,Fitzroy,3065,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),144.974409,-37.803711,0.97,Catholic,Secondary,North Eastern Melbourne,Fitzroy,https://www.academy.vic.edu.au/,https://www.academy.vic.edu.au/wp-content/uploads/2024/08/Layer_1.png,Required for nearest-six secondary school
2061,Al Siraat College,Independent,Pri/Sec,45 Harvest Home Road,Epping,3076,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.0375337,-37.62426056,20.59,Independent,Pri/Sec,North Eastern Melbourne,Epping,,,
1924,Alphington Grammar School,Independent,Pri/Sec,12 - 18 Old Heidelberg Road,Alphington,3078,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),145.036174,-37.780429,6.68,Independent,Pri/Sec,North Eastern Melbourne,Alphington,,,
