School_No,School_Name,Education_Sector,School_Type,Address_Line_1,Address_Town,Address_Postcode,Region,Area,LGA_Name,X,Y,Distance_km_from_Melbourne_Connect,Map_Category_Sector,Map_Category_Type,Map_Category_Area,Map_Category_Suburb,Website_For_Popup,Logo_Image_URL,Logo_Status_For_Popup
1267,Huntingtower School,Independent,Pri/Sec,77 Waimarie Drive,Mt Waverley,3149,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.136288,-37.876741,17.34,Independent,Pri/Sec,Inner Eastern Melbourne,Mt Waverley,,,
5176,Jells Park Primary School,Government,Primary,17-33 Petronella Avenue,Wheelers Hill,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.192851,-37.902837,23.09,Government,Primary,Inner Eastern Melbourne,Wheelers Hill,,,
8856,John Monash Science School,Government,Secondary,39 Innovation Walk,Clayton,3800,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.128686,-37.914221,19.22,Government,Secondary,Inner Eastern Melbourne,Clayton,,,
4816,Kerrimuir Primary School,Government,Primary,178 Dorking Road,Box Hill North,3129,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.135249,-37.803679,15.02,Government,Primary,Inner Eastern Melbourne,Box Hill North,,,
3161,Kew East Primary School,Government,Primary,35 Kitchener Street,Kew East,3102,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.049151,-37.796473,7.47,Government,Primary,Inner Eastern Melbourne,Kew East,,,
7950,Kew High School,Government,Secondary,1393 Burke Road,Kew East,3102,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.063358,-37.795546,8.72,Government,Secondary,Inner Eastern Melbourne,Kew East,,,
1075,Kew Primary School,Government,Primary,Peel Street,Kew,3101,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.033386,-37.803639,6.08,Government,Primary,Inner Eastern Melbourne,Kew,,,
1304,Kingswood College,Independent,Pri/Sec,355 Station Street,Box Hill,3128,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.118628,-37.832777,14.03,Independent,Pri/Sec,Inner Eastern Melbourne,Box Hill,,,
7954,Koonung Secondary College,Government,Secondary,68 Box Hill Crescent,Mont Albert North,3129,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.117561,-37.80219,13.47,Government,Secondary,Inner Eastern Melbourne,Mont Albert North,,,
4863,Laburnum Primary School,Government,Primary,Janet Street,Blackburn,3130,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.139208,-37.827098,15.66,Government,Primary,Inner Eastern Melbourne,Blackburn,,,
5113,Livingstone Primary School,Government,Primary,25 - 29 Livingstone Road,Vermont South,3133,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.18067,-37.85289,19.89,Government,Primary,Inner Eastern Melbourne,Vermont South,,,
1495,Marcellin College,Catholic,Secondary,160 Bulleen Road,Bulleen,3105,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.082675,-37.774782,10.78,Catholic,Secondary,Inner Eastern Melbourne,Bulleen,,,
